country,year,sex,age,suicides_no,population,suicides/100k_pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Albania,1987,male,15-24 years,21.0,312900.0,6.71,Albania1987,,2156624900.0,796.0,Generation X
Albania,1987,male,35-54 years,16.0,308000.0,5.19,Albania1987,,2156624900.0,796.0,Silent
Albania,1987,female,15-24 years,14.0,289700.0,4.83,Albania1987,,2156624900.0,796.0,Generation X
Albania,1987,male,75+ years,1.0,21800.0,4.59,Albania1987,,2156624900.0,796.0,G.I. Generation
Albania,1987,male,25-34 years,9.0,274300.0,3.28,Albania1987,,2156624900.0,796.0,Boomers
Albania,1987,female,75+ years,1.0,35600.0,2.81,Albania1987,,2156624900.0,796.0,G.I. Generation
Albania,1987,female,35-54 years,6.0,278800.0,2.15,Albania1987,,2156624900.0,796.0,Silent
Albania,1987,female,25-34 years,4.0,257200.0,1.56,Albania1987,,2156624900.0,796.0,Boomers
Albania,1987,male,55-74 years,1.0,137500.0,0.73,Albania1987,,2156624900.0,796.0,G.I. Generation
Albania,1987,female,5-14 years,0.0,311000.0,0.0,Albania1987,,2156624900.0,796.0,Generation X
Albania,1987,female,55-74 years,0.0,144600.0,0.0,Albania1987,,2156624900.0,796.0,G.I. Generation
Albania,1987,male,5-14 years,0.0,338200.0,0.0,Albania1987,,2156624900.0,796.0,Generation X
Albania,1988,female,75+ years,2.0,36400.0,5.49,Albania1988,,2126000000.0,769.0,G.I. Generation
Albania,1988,male,15-24 years,17.0,319200.0,5.33,Albania1988,,2126000000.0,769.0,Generation X
Albania,1988,male,75+ years,1.0,22300.0,4.48,Albania1988,,2126000000.0,769.0,G.I. Generation
Albania,1988,male,35-54 years,14.0,314100.0,4.46,Albania1988,,2126000000.0,769.0,Silent
Albania,1988,male,55-74 years,4.0,140200.0,2.85,Albania1988,,2126000000.0,769.0,G.I. Generation
Albania,1988,female,15-24 years,8.0,295600.0,2.71,Albania1988,,2126000000.0,769.0,Generation X
Albania,1988,female,55-74 years,3.0,147500.0,2.03,Albania1988,,2126000000.0,769.0,G.I. Generation
Albania,1988,female,25-34 years,5.0,262400.0,1.91,Albania1988,,2126000000.0,769.0,Boomers
Albania,1988,male,25-34 years,5.0,279900.0,1.79,Albania1988,,2126000000.0,769.0,Boomers
Albania,1988,female,35-54 years,4.0,284500.0,1.41,Albania1988,,2126000000.0,769.0,Silent
Albania,1988,female,5-14 years,0.0,317200.0,0.0,Albania1988,,2126000000.0,769.0,Generation X
Albania,1988,male,5-14 years,0.0,345000.0,0.0,Albania1988,,2126000000.0,769.0,Generation X
Albania,1989,male,75+ years,2.0,22500.0,8.89,Albania1989,,2335124988.0,833.0,G.I. Generation
Albania,1989,male,25-34 years,18.0,283600.0,6.35,Albania1989,,2335124988.0,833.0,Boomers
Albania,1989,male,35-54 years,15.0,318400.0,4.71,Albania1989,,2335124988.0,833.0,Silent
Albania,1989,male,55-74 years,6.0,142100.0,4.22,Albania1989,,2335124988.0,833.0,G.I. Generation
Albania,1989,male,15-24 years,12.0,323500.0,3.71,Albania1989,,2335124988.0,833.0,Generation X
Albania,1989,female,35-54 years,7.0,288600.0,2.43,Albania1989,,2335124988.0,833.0,Silent
Albania,1989,female,15-24 years,5.0,299900.0,1.67,Albania1989,,2335124988.0,833.0,Generation X
Albania,1989,female,25-34 years,2.0,266300.0,0.75,Albania1989,,2335124988.0,833.0,Boomers
Albania,1989,female,55-74 years,1.0,149600.0,0.67,Albania1989,,2335124988.0,833.0,G.I. Generation
Albania,1989,female,5-14 years,0.0,321900.0,0.0,Albania1989,,2335124988.0,833.0,Generation X
Albania,1989,female,75+ years,0.0,37000.0,0.0,Albania1989,,2335124988.0,833.0,G.I. Generation
Albania,1989,male,5-14 years,0.0,349700.0,0.0,Albania1989,,2335124988.0,833.0,Generation X
Albania,1992,male,35-54 years,12.0,343800.0,3.49,Albania1992,,709452584.0,251.0,Boomers
Albania,1992,male,15-24 years,9.0,263700.0,3.41,Albania1992,,709452584.0,251.0,Generation X
Albania,1992,male,55-74 years,5.0,159500.0,3.13,Albania1992,,709452584.0,251.0,Silent
Albania,1992,male,25-34 years,7.0,245500.0,2.85,Albania1992,,709452584.0,251.0,Boomers
Albania,1992,female,15-24 years,7.0,292400.0,2.39,Albania1992,,709452584.0,251.0,Generation X
Albania,1992,female,25-34 years,4.0,267400.0,1.5,Albania1992,,709452584.0,251.0,Boomers
Albania,1992,female,35-54 years,2.0,323100.0,0.62,Albania1992,,709452584.0,251.0,Boomers
Albania,1992,female,55-74 years,1.0,164900.0,0.61,Albania1992,,709452584.0,251.0,Silent
Albania,1992,female,5-14 years,0.0,336700.0,0.0,Albania1992,,709452584.0,251.0,Millenials
Albania,1992,female,75+ years,0.0,38700.0,0.0,Albania1992,,709452584.0,251.0,G.I. Generation
Albania,1992,male,5-14 years,0.0,362900.0,0.0,Albania1992,,709452584.0,251.0,Millenials
Albania,1992,male,75+ years,0.0,23900.0,0.0,Albania1992,,709452584.0,251.0,G.I. Generation
Albania,1993,male,15-24 years,18.0,243300.0,7.4,Albania1993,,1228071038.0,437.0,Generation X
Albania,1993,male,55-74 years,7.0,165000.0,4.24,Albania1993,,1228071038.0,437.0,Silent
Albania,1993,male,75+ years,1.0,24200.0,4.13,Albania1993,,1228071038.0,437.0,G.I. Generation
Albania,1993,male,25-34 years,9.0,230100.0,3.91,Albania1993,,1228071038.0,437.0,Boomers
Albania,1993,female,15-24 years,10.0,285300.0,3.51,Albania1993,,1228071038.0,437.0,Generation X
Albania,1993,male,35-54 years,10.0,350300.0,2.85,Albania1993,,1228071038.0,437.0,Boomers
Albania,1993,female,25-34 years,7.0,261800.0,2.67,Albania1993,,1228071038.0,437.0,Boomers
Albania,1993,female,35-54 years,7.0,331200.0,2.11,Albania1993,,1228071038.0,437.0,Boomers
