country,year,suicides/100k_pop
Albania,1987,31.85
Albania,1988,32.46
Albania,1989,33.4
Albania,1992,18.0
Albania,1993,32.56
Albania,1994,32.18
Albania,1995,40.55
Albania,1996,43.62
Albania,1997,77.43
Albania,1998,66.52
Albania,1999,69.81
Albania,2000,30.7
Albania,2001,50.620000000000005
Albania,2002,62.51
Albania,2003,58.6
Albania,2004,65.39
Albania,2005,0.0
Albania,2006,0.0
Albania,2007,65.85
Albania,2008,71.05
Albania,2009,0.0
Albania,2010,41.66
Antigua and Barbuda,1985,0.0
Antigua and Barbuda,1986,0.0
Antigua and Barbuda,1987,0.0
Antigua and Barbuda,1988,0.0
Antigua and Barbuda,1989,0.0
Antigua and Barbuda,1990,17.24
Antigua and Barbuda,1991,0.0
Antigua and Barbuda,1992,0.0
Antigua and Barbuda,1993,15.0
Antigua and Barbuda,1994,0.0
Antigua and Barbuda,1995,0.0
Antigua and Barbuda,1998,0.0
Antigua and Barbuda,1999,0.0
Antigua and Barbuda,2000,39.97
Antigua and Barbuda,2001,19.45
Antigua and Barbuda,2002,0.0
Antigua and Barbuda,2003,27.82
Antigua and Barbuda,2004,36.06
Antigua and Barbuda,2005,0.0
Antigua and Barbuda,2006,0.0
Antigua and Barbuda,2007,7.98
Antigua and Barbuda,2008,0.0
Antigua and Barbuda,2009,0.0
Antigua and Barbuda,2012,0.0
Antigua and Barbuda,2013,0.0
Antigua and Barbuda,2014,0.0
Antigua and Barbuda,2015,15.62
Argentina,1985,134.47
Argentina,1986,152.9
Argentina,1987,144.98
Argentina,1988,146.24
Argentina,1989,138.93
Argentina,1990,134.9
Argentina,1991,119.24
Argentina,1992,126.86
Argentina,1993,134.77
Argentina,1994,122.05
Argentina,1995,119.97
Argentina,1996,118.03
Argentina,1997,111.4
Argentina,1998,116.92999999999999
Argentina,1999,117.19
Argentina,2000,131.39
Argentina,2001,143.56
Argentina,2002,139.42000000000002
Argentina,2003,146.29
Argentina,2004,131.06
Argentina,2005,128.18
Argentina,2006,128.22
Argentina,2007,118.35
Argentina,2008,118.11
Argentina,2009,107.32
Argentina,2010,111.24
Argentina,2011,105.87
Argentina,2012,119.82
Argentina,2013,103.42
Argentina,2014,111.35
